date,team,issue,impact,title,summary
2026-01-01,DEN,에이스 부상,상승,[DEN] 에이스 부상 발생,DEN 팀에 '에이스 부상' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-15,POR,가상 트레이드 루머,상승,[POR] 가상 트레이드 루머 발생,POR 팀에 '가상 트레이드 루머' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-22,IND,전술 충돌,상승,[IND] 전술 충돌 발생,IND 팀에 '전술 충돌' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-14,OKC,팀 내부 이슈,상승,[OKC] 팀 내부 이슈 발생,OKC 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-03-18,HOU,국가대표 차출,상승,[HOU] 국가대표 차출 발생,HOU 팀에 '국가대표 차출' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-12-07,DEN,경기장 문제,상승,[DEN] 경기장 문제 발생,DEN 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-11-24,MIN,전술 충돌,하락,[MIN] 전술 충돌 발생,MIN 팀에 '전술 충돌' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2026-03-26,MEM,경기장 문제,무관,[MEM] 경기장 문제 발생,MEM 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2026-03-21,ATL,가상 트레이드 루머,하락,[ATL] 가상 트레이드 루머 발생,ATL 팀에 '가상 트레이드 루머' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2026-02-10,LAC,컨디션 저하,하락,[LAC] 컨디션 저하 발생,LAC 팀에 '컨디션 저하' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2025-11-27,DET,감독과 불화,상승,[DET] 감독과 불화 발생,DET 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-28,MIA,컨디션 저하,상승,[MIA] 컨디션 저하 발생,MIA 팀에 '컨디션 저하' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-11-26,GSW,구단주의 의지,무관,[GSW] 구단주의 의지 발생,GSW 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2026-03-11,BOS,감독과 불화,무관,[BOS] 감독과 불화 발생,BOS 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-10-09,MIL,구단주의 의지,상승,[MIL] 구단주의 의지 발생,MIL 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-09,SAS,컨디션 저하,상승,[SAS] 컨디션 저하 발생,SAS 팀에 '컨디션 저하' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-02,IND,가상 트레이드 루머,무관,[IND] 가상 트레이드 루머 발생,IND 팀에 '가상 트레이드 루머' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2026-02-24,ATL,경기장 문제,상승,[ATL] 경기장 문제 발생,ATL 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-30,SAC,팀 내부 이슈,상승,[SAC] 팀 내부 이슈 발생,SAC 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-25,NOP,백투백 경기 피로,상승,[NOP] 백투백 경기 피로 발생,NOP 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-17,CLE,백투백 경기 피로,하락,[CLE] 백투백 경기 피로 발생,CLE 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2025-10-14,WAS,팀 내부 이슈,무관,[WAS] 팀 내부 이슈 발생,WAS 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2026-01-12,PHX,감독과 불화,상승,[PHX] 감독과 불화 발생,PHX 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-12-03,OKC,컨디션 저하,상승,[OKC] 컨디션 저하 발생,OKC 팀에 '컨디션 저하' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-23,ATL,구단주의 의지,무관,[ATL] 구단주의 의지 발생,ATL 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-12-11,PHI,백투백 경기 피로,상승,[PHI] 백투백 경기 피로 발생,PHI 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-22,DET,구단주의 의지,상승,[DET] 구단주의 의지 발생,DET 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-13,NOP,경기장 문제,상승,[NOP] 경기장 문제 발생,NOP 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-24,LAC,경기장 문제,상승,[LAC] 경기장 문제 발생,LAC 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-13,MEM,구단주의 의지,상승,[MEM] 구단주의 의지 발생,MEM 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-11,DEN,팀 내부 이슈,상승,[DEN] 팀 내부 이슈 발생,DEN 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-06,POR,에이스 부상,상승,[POR] 에이스 부상 발생,POR 팀에 '에이스 부상' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-25,BOS,백투백 경기 피로,하락,[BOS] 백투백 경기 피로 발생,BOS 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2026-02-20,CHI,백투백 경기 피로,무관,[CHI] 백투백 경기 피로 발생,CHI 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-11-18,PHX,팀 내부 이슈,상승,[PHX] 팀 내부 이슈 발생,PHX 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-26,CHI,구단주의 의지,상승,[CHI] 구단주의 의지 발생,CHI 팀에 '구단주의 의지' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-12-20,OKC,경기장 문제,상승,[OKC] 경기장 문제 발생,OKC 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-31,MIL,에이스 부상,무관,[MIL] 에이스 부상 발생,MIL 팀에 '에이스 부상' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-10-15,MIN,경기장 문제,상승,[MIN] 경기장 문제 발생,MIN 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-10-18,MIN,감독과 불화,상승,[MIN] 감독과 불화 발생,MIN 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2025-11-30,DAL,감독과 불화,무관,[DAL] 감독과 불화 발생,DAL 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-12-03,CHA,감독과 불화,무관,[CHA] 감독과 불화 발생,CHA 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2026-03-08,SAC,전술 충돌,상승,[SAC] 전술 충돌 발생,SAC 팀에 '전술 충돌' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-27,MIA,백투백 경기 피로,무관,[MIA] 백투백 경기 피로 발생,MIA 팀에 '백투백 경기 피로' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-12-06,SAC,경기장 문제,하락,[SAC] 경기장 문제 발생,SAC 팀에 '경기장 문제' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2025-12-07,ATL,컨디션 저하,상승,[ATL] 컨디션 저하 발생,ATL 팀에 '컨디션 저하' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-03-15,CHA,국가대표 차출,무관,[CHA] 국가대표 차출 발생,CHA 팀에 '국가대표 차출' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-10-19,CHI,팀 내부 이슈,하락,[CHI] 팀 내부 이슈 발생,CHI 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
2026-02-22,BOS,팀 내부 이슈,무관,[BOS] 팀 내부 이슈 발생,BOS 팀에 '팀 내부 이슈' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-11-24,CLE,감독과 불화,무관,[CLE] 감독과 불화 발생,CLE 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '무관' 영향을 줄 것으로 예측됩니다.
2025-12-29,MIN,가상 트레이드 루머,상승,[MIN] 가상 트레이드 루머 발생,MIN 팀에 '가상 트레이드 루머' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-01-03,POR,감독과 불화,상승,[POR] 감독과 불화 발생,POR 팀에 '감독과 불화' 이슈가 발생했습니다. 이는 향후 경기력에 '상승' 영향을 줄 것으로 예측됩니다.
2026-02-17,CHI,국가대표 차출,하락,[CHI] 국가대표 차출 발생,CHI 팀에 '국가대표 차출' 이슈가 발생했습니다. 이는 향후 경기력에 '하락' 영향을 줄 것으로 예측됩니다.
